Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10u","C_1206_3216Metric",71.265000,-31.756000,180.000000,top
"C102","10u","C_1206_3216Metric",41.465000,-20.156000,90.000000,top
"C103","10u","C_1206_3216Metric",67.415000,-33.806000,90.000000,top
"C104","100n","C_0603_1608Metric",69.365000,-28.793500,-90.000000,top
"C105","10n","C_0603_1608Metric",53.252500,-22.056000,0.000000,top
"C106","10n","C_0603_1608Metric",64.565000,-22.568500,90.000000,top
"C107","10u","C_1206_3216Metric",47.265000,-41.556000,-90.000000,top
"C108","6p8","C_0603_1608Metric",61.140000,-25.256000,90.000000,top
"C109","8p2","C_0603_1608Metric",71.415000,-19.006000,-90.000000,top
"C110","220u","CP_Elec_6.3x7.7",37.065000,-31.006000,90.000000,top
"C111","220n","C_0603_1608Metric",66.615000,-19.006000,90.000000,top
"C112","22u","C_0805_2012Metric",76.915000,-27.356000,0.000000,top
"C113","22u","C_0805_2012Metric",58.590000,-26.056000,180.000000,top
"C114","4n7","C_0603_1608Metric",64.277500,-19.356000,180.000000,top
"D101","B5819W","D_SOD-123",62.415000,-28.262800,0.000000,top
"D102","B5819W","D_SOD-123",38.715000,-24.356000,180.000000,top
"D103","B5819W","D_SOD-123",74.965000,-23.756000,-90.000000,top
"D104","RED","LED_0805_2012Metric",28.140000,-41.506000,-90.000000,top
"D105","GREEN","LED_0805_2012Metric",50.365000,-41.506000,-90.000000,top
"D106","YELLOW","LED_0805_2012Metric",73.484500,-45.720000,180.000000,top
"F101","500mA","Fuse_1812_4532Metric",33.547000,-20.846000,-90.000000,top
"L101","10u","L_Sunlord_MWSA0518S",63.265000,-33.078800,90.000000,top
"L102","47u","L_Sunlord_SWRB1204S",48.101200,-30.117000,0.000000,top
"L103","10u","L_Sunlord_MWSA0518S",79.215000,-22.856000,-90.000000,top
"Q101","AO3401A","SOT-23",38.015000,-20.556000,90.000000,top
"Q102","AO3401A","SOT-23",75.715000,-32.756000,-90.000000,top
"R101","100","R_0603_1608Metric",71.752500,-28.006000,0.000000,top
"R102","100k","R_0603_1608Metric",44.127500,-16.606000,180.000000,top
"R103","100k","R_0603_1608Metric",47.202500,-16.606000,180.000000,top
"R104","1M","R_0603_1608Metric",62.665000,-25.256000,-90.000000,top
"R105","110k","R_0603_1608Metric",61.877500,-22.956000,0.000000,top
"R106","100k","R_0603_1608Metric",68.215000,-19.006000,90.000000,top
"R107","1M","R_0603_1608Metric",69.815000,-19.006000,90.000000,top
"R108","10k","R_0603_1608Metric",52.465000,-19.043500,-90.000000,top
"R109","3k3","R_0603_1608Metric",51.677500,-16.606000,0.000000,top
"R110","12k","R_0603_1608Metric",79.865000,-28.681000,-90.000000,top
"R111","12k","R_0603_1608Metric",58.577500,-24.206000,0.000000,top
"R112","1k5","R_0603_1608Metric",30.090000,-41.506000,90.000000,top
"R113","4k3","R_0603_1608Metric",52.340000,-41.506000,90.000000,top
"R114","5k1","R_0603_1608Metric",76.962000,-45.466000,0.000000,top
"U101","TPS65131RGER","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",68.615000,-24.206000,90.000000,top
"U102","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",47.583600,-20.131400,180.000000,top
